UID,Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20
"Delaware County, PA-US","Delaware County, PA",US,39.9078,-75.3879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Denver County, CO-US","Denver County, CO",US,39.7392,-104.9903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
Diamond Princess cruise ship-Others,Diamond Princess cruise ship,Others,35.4437,139.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,122,186,321,456,631,806,1024,1309,1664,2118,2660,3280,3911,4542,5173,5861,6549,7237,7928,8619,9308,9997,10686,11375,12065,12755,13445,14095,14745
"Douglas County, CO-US","Douglas County, CO",US,39.2587,-104.9389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Douglas County, NE-US","Douglas County, NE",US,41.3148,-96.1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Edmonton, Alberta-Canada","Edmonton, Alberta",Canada,53.5461,-113.4938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"El Paso County, CO-US","El Paso County, CO",US,38.9108,-104.4723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Fairfield County, CT-US","Fairfield County, CT",US,41.256,-73.3709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Fayette County, KY-US","Fayette County, KY",US,38.0606,-84.4803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Floyd County, GA-US","Floyd County, GA",US,34.2829,-85.2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"Fort Bend County, TX-US","Fort Bend County, TX",US,29.5693,-95.8143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5
From Diamond Princess-Australia,From Diamond Princess,Australia,35.4437,139.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,18,25,32,39,47,55,55,55,55,55,55,55,55,55
Fujian-Mainland China,Fujian,Mainland China,26.0789,117.9874,1,6,16,34,69,128,208,292,393,513,657,816,994,1185,1379,1580,1784,1999,2214,2436,2658,2877,3099,3317,3531,3736,3936,4135,4316,4482,4625,4755,4877,4986,5080,5155,5222,5282,5334,5382,5422,5457,5482,5500,5511,5511
"Fulton County, GA-US","Fulton County, GA",US,33.8034,-84.3963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,8,11
